close,date,minute
10431.5,2017-08-01,09:20:00
10428.9,2017-08-01,09:21:00
10433.05,2017-08-01,09:22:00
10431.3,2017-08-01,09:23:00
10433.0,2017-08-01,09:24:00
10431.8,2017-08-01,09:25:00
10434.65,2017-08-01,09:26:00
10437.5,2017-08-01,09:27:00
10437.35,2017-08-01,09:28:00
10438.2,2017-08-01,09:29:00
10436.7,2017-08-01,09:30:00
10439.5,2017-08-01,09:31:00
10439.85,2017-08-01,09:32:00
10440.25,2017-08-01,09:33:00
10437.2,2017-08-01,09:34:00
10432.4,2017-08-01,09:35:00
10428.3,2017-08-01,09:36:00
10422.45,2017-08-01,09:37:00
10422.75,2017-08-01,09:38:00
10424.45,2017-08-01,09:39:00
10425.4,2017-08-01,09:40:00
10429.55,2017-08-01,09:41:00
10433.55,2017-08-01,09:42:00
10432.05,2017-08-01,09:43:00
10432.6,2017-08-01,09:44:00
10431.05,2017-08-01,09:45:00
10428.75,2017-08-01,09:46:00
10424.95,2017-08-01,09:47:00
10421.2,2017-08-01,09:48:00
10425.65,2017-08-01,09:49:00
10429.7,2017-08-01,09:50:00
10429.6,2017-08-01,09:51:00
10428.15,2017-08-01,09:52:00
10428.1,2017-08-01,09:53:00
10432.9,2017-08-01,09:54:00
10432.7,2017-08-01,09:55:00
10431.2,2017-08-01,09:56:00
10431.65,2017-08-01,09:57:00
10429.0,2017-08-01,09:58:00
10428.55,2017-08-01,09:59:00
10431.4,2017-08-01,10:00:00
10432.85,2017-08-01,10:01:00
10429.7,2017-08-01,10:02:00
10430.15,2017-08-01,10:03:00
10430.75,2017-08-01,10:04:00
10431.4,2017-08-01,10:05:00
10431.6,2017-08-01,10:06:00
10429.5,2017-08-01,10:07:00
10428.15,2017-08-01,10:08:00
10429.4,2017-08-01,10:09:00
10430.0,2017-08-01,10:10:00
10434.3,2017-08-01,10:11:00
10437.85,2017-08-01,10:12:00
10435.75,2017-08-01,10:13:00
10436.05,2017-08-01,10:14:00
10459.65,2017-08-02,09:15:00
10458.0,2017-08-02,09:16:00
10459.05,2017-08-02,09:17:00
10460.55,2017-08-02,09:18:00
10454.45,2017-08-02,09:19:00
10444.65,2017-08-02,09:20:00
10448.9,2017-08-02,09:21:00
10447.6,2017-08-02,09:22:00
10448.1,2017-08-02,09:23:00
10449.1,2017-08-02,09:24:00
10451.6,2017-08-02,09:25:00
10454.2,2017-08-02,09:26:00
10453.55,2017-08-02,09:27:00
10451.3,2017-08-02,09:28:00
10451.5,2017-08-02,09:29:00
10451.45,2017-08-02,09:30:00
10447.6,2017-08-02,09:31:00
10444.45,2017-08-02,09:32:00
10438.25,2017-08-02,09:33:00
10446.4,2017-08-02,09:34:00
10443.65,2017-08-02,09:35:00
10445.5,2017-08-02,09:36:00
10441.1,2017-08-02,09:37:00
10441.45,2017-08-02,09:38:00
10440.25,2017-08-02,09:39:00
10440.6,2017-08-02,09:40:00
10442.75,2017-08-02,09:41:00
10443.05,2017-08-02,09:42:00
10440.8,2017-08-02,09:43:00
10442.95,2017-08-02,09:44:00
10442.25,2017-08-02,09:45:00
10442.45,2017-08-02,09:46:00
10443.8,2017-08-02,09:47:00
10444.7,2017-08-02,09:48:00
10443.45,2017-08-02,09:49:00
10443.75,2017-08-02,09:50:00
10441.85,2017-08-02,09:51:00
10440.3,2017-08-02,09:52:00
10441.8,2017-08-02,09:53:00
10442.25,2017-08-02,09:54:00
10438.35,2017-08-02,09:55:00
10436.75,2017-08-02,09:56:00
10437.25,2017-08-02,09:57:00
