,month,perc_dif,ticker
2,2020-10-26,3,CTAS
3,2020-11-25,4,CTAS
4,2020-12-28,3,CTAS
0,2020-08-26,4,CTLT
1,2020-09-25,2,CTLT
2,2020-10-26,4,CTLT
3,2020-11-25,4,CTLT
4,2020-12-28,4,CTLT
0,2020-08-26,4,CTSH
1,2020-09-25,3,CTSH
2,2020-10-26,4,CTSH
3,2020-11-25,4,CTSH
4,2020-12-28,4,CTSH
0,2020-08-26,3,CTVA
1,2020-09-25,3,CTVA
2,2020-10-26,4,CTVA
3,2020-11-25,4,CTVA
4,2020-12-28,3,CTVA
0,2020-08-26,3,CTXS
1,2020-09-25,2,CTXS
2,2020-10-26,2,CTXS
3,2020-11-25,3,CTXS
4,2020-12-28,4,CTXS
0,2020-08-26,3,CVS
1,2020-09-25,2,CVS
2,2020-10-26,3,CVS
3,2020-11-25,4,CVS
4,2020-12-28,3,CVS
0,2020-08-26,2,CVX
1,2020-09-25,2,CVX
2,2020-10-26,2,CVX
3,2020-11-25,5,CVX
4,2020-12-28,2,CVX
0,2020-08-19,3,CXO
1,2020-09-18,2,CXO
2,2020-10-19,3,CXO
3,2020-11-18,5,CXO
4,2020-12-18,4,CXO
0,2020-08-26,3,D
1,2020-09-25,3,D
2,2020-10-26,4,D
3,2020-11-25,3,D
4,2020-12-28,2,D
0,2020-08-26,4,DAL
1,2020-09-25,3,DAL
2,2020-10-26,4,DAL
3,2020-11-25,5,DAL
4,2020-12-28,3,DAL
0,2020-08-26,4,DD
1,2020-09-25,2,DD
2,2020-10-26,4,DD
3,2020-11-25,4,DD
4,2020-12-28,4,DD
0,2020-08-26,4,DE
1,2020-09-25,4,DE
2,2020-10-26,4,DE
3,2020-11-25,4,DE
4,2020-12-28,4,DE
0,2020-08-26,3,DFS
1,2020-09-25,4,DFS
2,2020-10-26,5,DFS
3,2020-11-25,5,DFS
4,2020-12-28,4,DFS
0,2020-08-26,4,DG
1,2020-09-25,3,DG
2,2020-10-26,3,DG
3,2020-11-25,3,DG
4,2020-12-28,2,DG
0,2020-08-26,2,DGX
1,2020-09-25,2,DGX
2,2020-10-26,4,DGX
3,2020-11-25,3,DGX
4,2020-12-28,2,DGX
0,2020-08-26,4,DHI
1,2020-09-25,2,DHI
2,2020-10-26,2,DHI
3,2020-11-25,4,DHI
4,2020-12-28,2,DHI
0,2020-08-26,4,DHR
1,2020-09-25,3,DHR
2,2020-10-26,4,DHR
3,2020-11-25,2,DHR
4,2020-12-28,3,DHR
0,2020-08-26,4,DIS
1,2020-09-25,2,DIS
2,2020-10-26,3,DIS
3,2020-11-25,5,DIS
4,2020-12-28,5,DIS
0,2020-08-26,4,DISCA
1,2020-09-25,2,DISCA
2,2020-10-26,2,DISCA
3,2020-11-25,5,DISCA
4,2020-12-28,4,DISCA
0,2020-08-26,4,DISCK
1,2020-09-25,2,DISCK
2,2020-10-26,2,DISCK
3,2020-11-25,5,DISCK
4,2020-12-28,4,DISCK
0,2020-08-26,4,DISH
1,2020-09-25,2,DISH
2,2020-10-26,2,DISH
3,2020-11-25,5,DISH
4,2020-12-28,2,DISH
0,2020-08-26,3,DLR
1,2020-09-25,2,DLR
2,2020-10-26,4,DLR
3,2020-11-25,2,DLR
4,2020-12-28,4,DLR
0,2020-08-26,4,DLTR
1,2020-09-25,2,DLTR
2,2020-10-26,4,DLTR
3,2020-11-25,5,DLTR
4,2020-12-28,2,DLTR
0,2020-08-26,4,DOV
1,2020-09-25,3,DOV
2,2020-10-26,3,DOV
3,2020-11-25,4,DOV
4,2020-12-28,3,DOV
0,2020-08-26,4,DOW
1,2020-09-25,3,DOW
2,2020-10-26,3,DOW
3,2020-11-25,4,DOW
4,2020-12-28,3,DOW
0,2020-08-26,4,DPZ
1,2020-09-25,3,DPZ
2,2020-10-26,2,DPZ
3,2020-11-25,3,DPZ
4,2020-12-28,3,DPZ
0,2020-08-26,4,DRE
1,2020-09-25,2,DRE
2,2020-10-26,4,DRE
3,2020-11-25,3,DRE
4,2020-12-28,4,DRE
0,2020-08-26,4,DRI
1,2020-09-25,4,DRI
2,2020-10-26,3,DRI
3,2020-11-25,4,DRI
4,2020-12-28,4,DRI
0,2020-08-26,3,DTE
1,2020-09-25,3,DTE
2,2020-10-26,4,DTE
3,2020-11-25,4,DTE
4,2020-12-28,2,DTE
0,2020-08-26,3,DUK
1,2020-09-25,4,DUK
2,2020-10-26,4,DUK
3,2020-11-25,4,DUK
4,2020-12-28,2,DUK
0,2020-08-26,3,DVA
1,2020-09-25,2,DVA
2,2020-10-26,4,DVA
3,2020-11-25,5,DVA
4,2020-12-28,4,DVA
0,2020-08-26,4,DVN
1,2020-09-25,2,DVN
2,2020-10-26,3,DVN
3,2020-11-25,5,DVN
4,2020-12-28,4,DVN
0,2020-08-26,4,DXC
1,2020-09-25,2,DXC
2,2020-10-26,4,DXC
3,2020-11-25,5,DXC
4,2020-12-28,4,DXC
0,2020-08-26,3,DXCM
1,2020-09-25,2,DXCM
2,2020-10-26,2,DXCM
3,2020-11-25,1,DXCM
4,2020-12-28,4,DXCM
0,2020-08-26,4,EA
1,2020-09-25,2,EA
2,2020-10-26,2,EA
3,2020-11-25,2,EA
4,2020-12-28,4,EA
0,2020-08-26,3,EBAY
1,2020-09-25,2,EBAY
2,2020-10-26,3,EBAY
3,2020-11-25,2,EBAY
4,2020-12-28,3,EBAY
0,2020-08-26,2,ECL
1,2020-09-25,3,ECL
2,2020-10-26,2,ECL
3,2020-11-25,4,ECL
4,2020-12-28,3,ECL
0,2020-08-26,2,ED
1,2020-09-25,4,ED
2,2020-10-26,4,ED
3,2020-11-25,2,ED
4,2020-12-28,2,ED
0,2020-08-26,3,EFX
1,2020-09-25,2,EFX
2,2020-10-26,2,EFX
3,2020-11-25,4,EFX
4,2020-12-28,4,EFX
0,2020-08-26,2,EIX
1,2020-09-25,3,EIX
2,2020-10-26,4,EIX
3,2020-11-25,4,EIX
4,2020-12-28,3,EIX
0,2020-08-26,4,EL
1,2020-09-25,3,EL
2,2020-10-26,4,EL
3,2020-11-25,4,EL
4,2020-12-28,4,EL
0,2020-08-26,2,EMN
1,2020-09-25,4,EMN
2,2020-10-26,4,EMN
3,2020-11-25,4,EMN
4,2020-12-28,3,EMN
0,2020-08-26,4,EMR
1,2020-09-25,2,EMR
2,2020-10-26,4,EMR
3,2020-11-25,4,EMR
4,2020-12-28,3,EMR
0,2020-08-26,5,ENPH
1,2020-09-25,3,ENPH
2,2020-10-26,5,ENPH
3,2020-11-25,5,ENPH
4,2020-12-28,5,ENPH
0,2020-08-26,2,EOG
1,2020-09-25,2,EOG
2,2020-10-26,2,EOG
3,2020-11-25,5,EOG
4,2020-12-28,2,EOG
0,2020-08-26,4,EQIX
1,2020-09-25,2,EQIX
2,2020-10-26,3,EQIX
3,2020-11-25,2,EQIX
4,2020-12-28,3,EQIX
0,2020-08-26,3,EQR
1,2020-09-25,2,EQR
2,2020-10-26,2,EQR
3,2020-11-25,4,EQR
4,2020-12-28,3,EQR
0,2020-08-26,2,ES
1,2020-09-25,3,ES
2,2020-10-26,4,ES
3,2020-11-25,2,ES
4,2020-12-28,3,ES
0,2020-08-26,3,ESS
1,2020-09-25,2,ESS
2,2020-10-26,2,ESS
3,2020-11-25,5,ESS
4,2020-12-28,2,ESS
0,2020-08-26,4,ETN
1,2020-09-25,3,ETN
2,2020-10-26,4,ETN
3,2020-11-25,4,ETN
4,2020-12-28,3,ETN
