followed,following
TN Lamar Alexander,CO Cory Gardner
WV Shelley Moore Capito,CO Cory Gardner
WY John Barrasso,CO Cory Gardner
UT Mike Lee,CO Cory Gardner
GA David Perdue,CO Cory Gardner
MT Steve Daines,CO Cory Gardner
NC Thom Tillis,CO Cory Gardner
IA Joni Ernst,CO Cory Gardner
NE Ben Sasse,CO Cory Gardner
MT Jon Tester,CO Cory Gardner
KY Rand Paul,CO Cory Gardner
TN Marsha Blackburn,CO Cory Gardner
CO Michael F. Bennet,CO Cory Gardner
AZ Kyrsten Sinema,CT Richard Blumenthal
NV Jacky Rosen,CT Richard Blumenthal
MN Amy Klobuchar,CT Richard Blumenthal
SC Lindsey Graham,CT Richard Blumenthal
NJ Cory A. Booker,CT Richard Blumenthal
AL Doug Jones,CT Richard Blumenthal
MN Tina Smith,CT Richard Blumenthal
MD Chris Van Hollen,CT Richard Blumenthal
CA Kamala D. Harris,CT Richard Blumenthal
ME Angus S. King Jr.,CT Richard Blumenthal
ME Susan M. Collins,CT Richard Blumenthal
CO Michael F. Bennet,CT Richard Blumenthal
MT Jon Tester,CT Richard Blumenthal
NH Margaret Wood Hassan,CT Richard Blumenthal
NV Catherine Cortez Masto,CT Richard Blumenthal
HI Brian Schatz,CT Richard Blumenthal
NM Martin Heinrich,CT Richard Blumenthal
IL Tammy Duckworth,CT Richard Blumenthal
WA Maria Cantwell,CT Richard Blumenthal
SD Mike Rounds,CT Richard Blumenthal
MI Gary C. Peters,CT Richard Blumenthal
ND John Hoeven,CT Richard Blumenthal
MA Edward J. Markey,CT Richard Blumenthal
WV Joe Manchin III,CT Richard Blumenthal
DE Thomas R. Carper,CT Richard Blumenthal
OR Ron Wyden,CT Richard Blumenthal
SC Tim Scott,CT Richard Blumenthal
KY Rand Paul,CT Richard Blumenthal
AK Lisa Murkowski,CT Richard Blumenthal
ID Mike Crapo,CT Richard Blumenthal
MI Debbie Stabenow,CT Richard Blumenthal
HI Mazie K. Hirono,CT Richard Blumenthal
MA Elizabeth Warren,CT Richard Blumenthal
WI Tammy Baldwin,CT Richard Blumenthal
KS Jerry Moran,CT Richard Blumenthal
NJ Robert Menendez,CT Richard Blumenthal
VA Tim Kaine,CT Richard Blumenthal
CA Dianne Feinstein,CT Richard Blumenthal
AL Richard C. Shelby,CT Richard Blumenthal
