Senator Name,Decision,Bill
LA Bill Cassidy,Not Voting,6
ME Susan M. Collins,Yea,6
DE Christopher A. Coons,Yea,6
TX John Cornyn,Not Voting,6
NV Catherine Cortez Masto,Yea,6
AR Tom Cotton,Nay,6
ND Kevin Cramer,Nay,6
ID Mike Crapo,Nay,6
TX Ted Cruz,Not Voting,6
MT Steve Daines,Nay,6
IL Tammy Duckworth,Yea,6
IL Richard J. Durbin,Yea,6
WY Michael B. Enzi,Nay,6
IA Joni Ernst,Nay,6
CA Dianne Feinstein,Yea,6
NE Deb Fischer,Nay,6
CO Cory Gardner,Nay,6
NY Kirsten E. Gillibrand,Yea,6
SC Lindsey Graham,Nay,6
IA Chuck Grassley,Nay,6
CA Kamala D. Harris,Not Voting,6
NH Margaret Wood Hassan,Yea,6
MO Josh Hawley,Nay,6
NM Martin Heinrich,Yea,6
HI Mazie K. Hirono,Yea,6
ND John Hoeven,Nay,6
MS Cindy Hyde-Smith,Nay,6
OK James M. Inhofe,Nay,6
GA Johnny Isakson,Not Voting,6
WI Ron Johnson,Nay,6
AL Doug Jones,Yea,6
VA Tim Kaine,Yea,6
LA John Kennedy,Nay,6
ME Angus S. King Jr.,Yea,6
MN Amy Klobuchar,Not Voting,6
OK James Lankford,Nay,6
VT Patrick J. Leahy,Yea,6
UT Mike Lee,Yea,6
WV Joe Manchin III,Yea,6
MA Edward J. Markey,Yea,6
KY Mitch McConnell,Nay,6
AZ Martha McSally,Nay,6
NJ Robert Menendez,Yea,6
OR Jeff Merkley,Yea,6
KS Jerry Moran,Not Voting,6
AK Lisa Murkowski,Yea,6
CT Christopher Murphy,Yea,6
WA Patty Murray,Yea,6
KY Rand Paul,Yea,6
GA David Perdue,Not Voting,6
MI Gary C. Peters,Yea,6
OH Rob Portman,Yea,6
RI Jack Reed,Yea,6
ID James E. Risch,Nay,6
KS Pat Roberts,Nay,6
UT Mitt Romney,Yea,6
NV Jacky Rosen,Yea,6
SD Mike Rounds,Nay,6
FL Marco Rubio,Yea,6
VT Bernard Sanders,Not Voting,6
NE Ben Sasse,Nay,6
HI Brian Schatz,Yea,6
NY Charles E. Schumer,Yea,6
FL Rick Scott,Nay,6
SC Tim Scott,Nay,6
NH Jeanne Shaheen,Yea,6
AL Richard C. Shelby,Nay,6
AZ Kyrsten Sinema,Yea,6
MN Tina Smith,Yea,6
MI Debbie Stabenow,Yea,6
AK Dan Sullivan,Nay,6
MT Jon Tester,Yea,6
SD John Thune,Nay,6
NC Thom Tillis,Nay,6
PA Patrick J. Toomey,Yea,6
NM Tom Udall,Yea,6
MD Chris Van Hollen,Yea,6
VA Mark R. Warner,Yea,6
MA Elizabeth Warren,Yea,6
RI Sheldon Whitehouse,Yea,6
MS Roger F. Wicker,Yea,6
OR Ron Wyden,Yea,6
IN Todd Young,Nay,6
TN Lamar Alexander,Not Voting,7
WI Tammy Baldwin,Yea,7
WY John Barrasso,Nay,7
